City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,naze,28.3667,129.4833,14.51,62,89,6.88,JP,1670360266
315,ugoofaaru,5.6667,73.0,27.04,76,71,3.3,MV,1670360266
316,grandview,38.8858,-94.533,6.62,76,100,3.09,US,1670360073
317,takoradi,4.8845,-1.7554,26.44,85,67,4.34,GH,1670360154
318,santa marinella,42.0345,11.8536,14.71,92,100,3.64,IT,1670360267
319,dawson creek,55.7666,-120.2362,-24.2,58,20,4.63,CA,1670360159
320,tuatapere,-46.1333,167.6833,11.52,59,7,2.71,NZ,1670360267
321,abbeville,50.1,1.8333,3.98,85,93,1.66,FR,1670360267
322,sangmelima,2.9333,11.9833,20.92,84,97,1.44,CM,1670360268
323,isangel,-19.55,169.2667,29.06,70,57,0.51,VU,1670359968
324,northam,51.0333,-4.2167,5.22,86,12,3.07,GB,1670360268
325,torbay,47.6666,-52.7314,1.99,97,100,4.47,CA,1670360145
326,pangai,-19.8,-174.35,28.06,78,75,3.09,TO,1670360268
327,dwarka,22.2394,68.9678,22.94,41,0,5.8,IN,1670360269
328,lircay,-12.9896,-74.7205,14.3,57,76,6.34,PE,1670360269
329,iranshahr,27.2025,60.6848,17.19,42,0,2.06,IR,1670360269
330,ribeira grande,38.5167,-28.7,14.32,77,75,8.94,PT,1670360128
331,limpapa,7.1197,121.9106,24.66,83,92,1.55,PH,1670360270
332,coahuayana,18.7333,-103.6833,30.51,58,1,2.9,MX,1670360270
333,zhanakorgan,43.9098,67.2495,-12.03,82,2,1.49,KZ,1670360270
334,pangody,65.85,74.4859,-15.68,95,100,5.12,RU,1670360271
335,bosaso,11.2842,49.1816,24.41,72,96,1.58,SO,1670360271
336,kinablangan,7.6947,126.5503,24.41,86,97,2.98,PH,1670360271
337,morant bay,17.8815,-76.4093,30.79,71,31,6.62,JM,1670360272
338,chateau-gontier,47.8333,-0.7,5.4,94,25,3.02,FR,1670360272
339,camacha,33.0833,-16.3333,15.68,94,40,6.69,PT,1670360069
340,srednekolymsk,67.45,153.6833,-32.01,97,100,5.83,RU,1670360272
341,margate,51.3813,1.3862,5.49,89,100,2.24,GB,1670360273
342,lichinga,-13.3128,35.2406,18.32,72,56,2.32,MZ,1670360273
343,arraial do cabo,-22.9661,-42.0278,22.98,83,75,4.12,BR,1670360149
344,barranca,-10.75,-77.7667,21.44,71,14,4.79,PE,1670360273
345,marzuq,14.4,46.4667,16.55,82,53,2.18,YE,1670360274
346,labuan,5.2767,115.2417,25.2,94,20,0.0,MY,1670360274
347,arman,59.7,150.1667,-21.93,87,93,4.64,RU,1670360274
348,dzilam gonzalez,21.2833,-88.9333,30.46,41,59,3.4,MX,1670360274
349,caruray,10.3094,119.0128,25.26,87,18,2.73,PH,1670360275
350,hasaki,35.7333,140.8333,4.01,69,0,3.64,JP,1670360275
351,plymouth,41.8334,-70.8328,12.86,72,100,3.84,US,1670360275
352,sitka,57.0531,-135.33,5.07,99,100,3.15,US,1670360276
353,cumana,10.4635,-64.1775,25.94,65,67,2.27,VE,1670360276
354,lompoc,34.6391,-120.4579,16.96,65,0,1.34,US,1670360254
355,wanning,18.8003,110.3967,20.99,89,100,4.25,CN,1670360276
356,visnes,59.3556,5.2242,2.34,75,45,7.72,NO,1670360277
357,glebychevo,60.4387,28.7183,-2.29,96,100,5.99,RU,1670360277
358,leh,34.1667,77.5833,-7.57,78,53,0.65,IN,1670360277
359,fort wellington,6.4,-57.6,25.88,85,25,2.96,GY,1670360278
360,zhumadian,32.9794,114.0294,3.26,72,0,1.55,CN,1670360278
361,nanortalik,60.1432,-45.2371,2.23,99,100,2.51,GL,1670360132
362,burnie,-41.0667,145.9167,11.48,64,3,2.24,AU,1670360278
